ID,Form,"Country (Form)","Organization (Form)",Participant,Age,Gender,Address,"Well-Functioning Government","Low Levels of Corruption","Equitable Distribution of Resources","Good Relations with Neighbours","Free Flow of Information","High Levels of Human Capital","Sound Business Environment","Acceptance of the Rights of Others","Positive Peace","Negative Peace","Extra Question 1","Extra Question 2","Extra Question 3","Survey Date"
1012,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,2,2,5,6,5,1,1,4,5,,,,"03 Jun, 2025"
1013,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,1,1,2,4,1,5,3,5,1,,,,"03 Jun, 2025"
1014,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,5,6,5,6,4,6,2,3,3,,,,"03 Jun, 2025"
1015,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,5,5,5,5,6,1,1,1,6,6,,,,"03 Jun, 2025"
1016,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,2,4,3,4,1,6,1,5,5,,,,"03 Jun, 2025"
1017,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,3,4,2,3,6,2,6,6,,,,"03 Jun, 2025"
1018,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,4,5,4,2,4,4,,,,,,,"03 Jun, 2025"
1019,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,4,5,5,2,4,1,1,1,,,,"03 Jun, 2025"
1020,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,,,,,,,,,,,,,,"03 Jun, 2025"
1021,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,4,4,4,4,3,3,2,2,2,,,,"03 Jun, 2025"
1022,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,2,2,4,2,5,6,1,5,6,,,,"03 Jun, 2025"
1023,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,1,6,1,6,,,,,"03 Jun, 2025"
1024,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,1,4,5,5,5,1,1,5,5,,,,"03 Jun, 2025"
1025,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,1,1,3,6,1,3,4,1,3,,,,"03 Jun, 2025"
1026,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,4,5,2,4,4,1,6,1,3,2,,,,"03 Jun, 2025"
1027,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,5,3,4,3,4,4,3,3,,,,"03 Jun, 2025"
1028,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,4,3,6,6,5,6,3,3,3,,,,"03 Jun, 2025"
1029,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,4,6,3,5,5,2,6,2,4,4,,,,"03 Jun, 2025"
1030,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,3,1,3,3,1,1,2,,,,,,"03 Jun, 2025"
1031,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,1,2,3,6,1,1,1,1,,,,"03 Jun, 2025"
1032,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,1,3,3,6,4,5,3,4,5,,,,"03 Jun, 2025"
1033,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,1,2,6,1,1,1,1,,,,"03 Jun, 2025"
1034,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,3,4,3,5,5,3,6,2,3,5,,,,"03 Jun, 2025"
1035,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,3,5,3,5,6,1,1,1,,,,"03 Jun, 2025"
1036,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,1,1,2,2,6,1,1,1,1,,,,"03 Jun, 2025"
1037,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,2,3,4,3,6,4,4,3,3,,,,"03 Jun, 2025"
1038,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,4,5,6,4,6,5,4,4,,,,,"03 Jun, 2025"
1039,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,6,6,6,6,1,6,1,1,6,,,,"03 Jun, 2025"
1040,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,6,6,1,2,2,6,6,,,,,,"03 Jun, 2025"
1041,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,5,6,6,6,6,,,,,,,,"03 Jun, 2025"
1042,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,1,6,6,6,,,,,"03 Jun, 2025"
1043,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,6,6,6,6,1,6,1,3,6,,,,"03 Jun, 2025"
1044,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,1,1,1,1,1,1,1,6,6,,,,"03 Jun, 2025"
1045,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,,,,,,,,,,,,,"03 Jun, 2025"
1046,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,6,6,6,2,6,1,3,3,,,,,"03 Jun, 2025"
1047,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,6,6,1,1,1,,,,"03 Jun, 2025"
1048,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,6,,,,,,,,"03 Jun, 2025"
1049,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,6,6,5,3,3,5,6,4,6,,,,"03 Jun, 2025"
1050,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,3,5,4,3,5,2,5,2,3,2,,,,"03 Jun, 2025"
1051,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,4,5,6,5,6,6,,,,,,"03 Jun, 2025"
1052,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,5,4,4,5,3,6,4,4,5,,,,"03 Jun, 2025"
1053,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,5,5,5,5,6,2,6,2,4,,,,,"03 Jun, 2025"
1054,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,2,2,2,5,5,6,1,1,2,,,,"03 Jun, 2025"
1055,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,1,1,6,1,1,1,1,,,,,"03 Jun, 2025"
1056,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,2,3,3,3,5,5,1,2,2,,,,,"03 Jun, 2025"
1057,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,4,5,5,4,6,3,4,4,,,,"03 Jun, 2025"
1058,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,6,6,6,6,6,,,,"03 Jun, 2025"
1059,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,1,1,1,1,1,,,,,,"03 Jun, 2025"
1060,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Female,,6,1,3,5,6,4,6,1,1,4,,,,"03 Jun, 2025"
1061,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,3,4,4,6,5,6,2,2,5,,,,"03 Jun, 2025"
1062,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,4,3,2,2,2,2,2,6,4,,,,"03 Jun, 2025"
1063,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,1,6,5,2,4,1,4,6,,,,"03 Jun, 2025"
1064,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,2,6,6,6,6,1,6,1,1,6,,,,"03 Jun, 2025"
1065,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,4,4,4,6,4,6,2,4,3,,,,"03 Jun, 2025"
1066,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,2,1,3,3,4,4,4,2,1,1,,,,"03 Jun, 2025"
1067,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,1,1,3,4,1,4,1,1,1,,,,"03 Jun, 2025"
1068,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,4,6,6,5,4,6,1,6,3,,,,"03 Jun, 2025"
1069,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,5,6,6,6,2,6,6,6,,,,,"03 Jun, 2025"
1070,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,4,6,5,6,5,4,5,5,4,6,,,,"03 Jun, 2025"
1071,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,5,4,4,5,3,6,2,5,6,,,,"03 Jun, 2025"
1072,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,5,6,3,3,4,2,6,2,4,6,,,,"03 Jun, 2025"
1073,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Male,,3,1,1,1,6,6,6,1,4,1,,,,"03 Jun, 2025"
1074,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,6,6,6,6,3,1,1,6,,,,,"03 Jun, 2025"
1075,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,5,4,4,5,6,3,5,4,4,4,,,,"03 Jun, 2025"
1076,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,1,6,6,,,,,,"03 Jun, 2025"
1077,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,1,6,6,1,1,1,,,,,"03 Jun, 2025"
1078,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,3,3,4,4,4,3,4,3,3,3,,,,"03 Jun, 2025"
1079,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,4,4,3,4,3,2,6,3,4,,,,"03 Jun, 2025"
1080,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,2,3,3,4,4,4,3,4,,,,,"03 Jun, 2025"
1081,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,1,1,6,4,3,2,2,6,,,,"03 Jun, 2025"
1082,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,2,4,4,4,5,2,3,1,3,5,,,,"03 Jun, 2025"
1083,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,3,3,4,4,1,4,4,5,,,,,"03 Jun, 2025"
1084,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,4,6,4,4,5,4,6,6,4,5,,,,"03 Jun, 2025"
1085,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,4,5,5,6,2,4,3,5,6,,,,"03 Jun, 2025"
1086,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,5,5,4,5,6,1,6,5,6,6,,,,"03 Jun, 2025"
1087,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,6,6,1,6,1,1,1,,,,,"03 Jun, 2025"
1088,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,6,6,6,6,6,,,,"03 Jun, 2025"
1089,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,4,4,5,1,3,3,4,3,3,,,,"03 Jun, 2025"
594,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,3,4,4,5,5,6,3,3,,,,,"03 Jun, 2025"
595,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,6,6,3,1,6,1,1,1,6,,,,"03 Jun, 2025"
596,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,2,3,4,6,6,4,3,4,4,,,,"03 Jun, 2025"
597,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,6,6,5,4,6,6,6,6,6,,,,"03 Jun, 2025"
598,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,3,5,4,6,1,6,6,6,4,,,,"03 Jun, 2025"
599,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,5,6,6,5,6,6,6,5,,,,,"03 Jun, 2025"
600,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,2,4,1,2,6,4,6,3,2,1,,,,"03 Jun, 2025"
601,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,,,,,,,,,,,,,,"03 Jun, 2025"
602,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,4,4,5,5,5,5,5,5,,,,,"03 Jun, 2025"
603,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,5,4,4,4,4,4,,,,,,,"03 Jun, 2025"
604,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,1,6,6,1,6,1,6,6,,,,,"03 Jun, 2025"
605,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,1,3,6,6,1,1,3,3,,,,"03 Jun, 2025"
606,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,6,6,6,6,1,6,4,6,6,,,,"03 Jun, 2025"
607,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Male,,1,2,3,5,6,2,6,3,4,5,,,,"03 Jun, 2025"
608,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,4,5,6,1,2,5,5,,,,,,"03 Jun, 2025"
609,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Male,,1,1,3,4,2,2,6,2,5,5,,,,"03 Jun, 2025"
610,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,6,3,6,6,1,1,1,,,,"03 Jun, 2025"
611,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,5,6,3,2,5,6,4,5,6,,,,"03 Jun, 2025"
612,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,2,6,3,6,1,2,3,1,6,6,,,,"03 Jun, 2025"
613,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,,,,,,,,,,,,,,"03 Jun, 2025"
614,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,,,,,,,,,,,,,,"03 Jun, 2025"
615,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,5,3,1,5,2,6,3,5,5,,,,"03 Jun, 2025"
616,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,5,5,4,5,6,5,4,5,6,,,,"03 Jun, 2025"
617,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,,,,,,,,,,,,,"03 Jun, 2025"
618,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,4,4,5,6,4,5,3,5,,,,,"03 Jun, 2025"
619,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,1,6,6,6,6,3,6,5,4,,,,"03 Jun, 2025"
620,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,3,5,3,3,1,6,1,6,6,,,,"03 Jun, 2025"
621,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,1,1,3,1,3,1,6,6,,,,,"03 Jun, 2025"
622,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,6,6,2,2,6,1,6,6,,,,,"03 Jun, 2025"
623,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,5,3,1,1,1,1,2,,,,,,,"03 Jun, 2025"
624,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,6,6,6,6,6,1,6,6,,,,,"03 Jun, 2025"
625,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,3,3,6,4,3,1,6,6,,,,"03 Jun, 2025"
626,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,3,6,2,1,6,6,4,6,6,,,,"03 Jun, 2025"
627,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,5,2,5,5,1,5,1,2,,,,,,"03 Jun, 2025"
628,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,3,4,3,5,3,5,2,4,4,,,,"03 Jun, 2025"
629,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,1,1,1,3,3,3,6,1,1,1,,,,"03 Jun, 2025"
630,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,,,,,,,,,,,,,,"03 Jun, 2025"
631,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,2,5,3,4,6,6,5,4,3,,,,"03 Jun, 2025"
632,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,1,1,1,1,1,1,1,1,1,1,,,,"03 Jun, 2025"
633,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,6,1,1,6,6,6,1,1,1,,,,"03 Jun, 2025"
634,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,4,4,4,3,3,4,2,2,,,,,"03 Jun, 2025"
635,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,1,1,6,1,6,1,1,,,,,,"03 Jun, 2025"
636,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,3,3,4,4,3,2,2,3,3,,,,"03 Jun, 2025"
637,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,1,1,6,6,1,6,1,5,1,,,,,"03 Jun, 2025"
638,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,5,5,5,6,6,6,6,,,,,"03 Jun, 2025"
639,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,6,6,5,5,5,6,5,6,,,,"03 Jun, 2025"
640,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,3,2,1,4,3,3,1,2,1,,,,"03 Jun, 2025"
641,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,4,5,5,5,6,1,6,2,5,6,,,,"03 Jun, 2025"
642,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Male,,4,4,4,6,6,5,5,2,6,,,,,"03 Jun, 2025"
643,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Male,,,,,,,,,,,,,,,"03 Jun, 2025"
644,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,2,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
645,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,4,4,4,6,1,4,6,6,6,6,,,,"03 Jun, 2025"
646,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Female,,6,6,6,6,6,1,6,6,6,,,,,"03 Jun, 2025"
647,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,6,6,6,1,6,6,6,6,,,,,"03 Jun, 2025"
648,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,2,3,4,6,3,2,1,5,,,,,"03 Jun, 2025"
649,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,4,5,5,6,4,4,4,5,6,,,,"03 Jun, 2025"
650,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,4,5,6,3,5,3,6,,,,,"03 Jun, 2025"
651,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,1,2,1,1,6,3,1,1,3,,,,"03 Jun, 2025"
652,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,2,3,4,5,6,1,,,,,,,"03 Jun, 2025"
653,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,5,5,6,3,5,4,4,5,,,,"03 Jun, 2025"
654,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,1,1,2,1,1,1,2,,,,,"03 Jun, 2025"
655,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,1,3,6,6,1,6,1,1,6,,,,"03 Jun, 2025"
656,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,2,5,6,6,6,6,1,3,6,,,,"03 Jun, 2025"
657,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,,,,,,,,,,,,,,"03 Jun, 2025"
658,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,5,3,3,3,4,4,4,3,3,4,,,,"03 Jun, 2025"
659,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,6,6,6,6,1,6,1,1,6,,,,"03 Jun, 2025"
660,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,6,5,6,6,6,6,5,6,6,,,,"03 Jun, 2025"
661,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,6,6,6,6,6,6,6,6,6,,,,"03 Jun, 2025"
662,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,6,6,5,5,6,1,5,6,,,,"03 Jun, 2025"
663,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,2,5,5,1,4,3,4,5,,,,,"03 Jun, 2025"
664,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,6,6,6,6,1,6,4,4,6,,,,"03 Jun, 2025"
665,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,2,3,4,6,6,1,2,2,,,,"03 Jun, 2025"
666,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,5,6,1,6,1,6,3,,,,,,"03 Jun, 2025"
667,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,5,2,3,4,2,2,3,3,4,4,,,,"03 Jun, 2025"
668,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,6,6,3,6,3,6,6,4,5,,,,"03 Jun, 2025"
669,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,3,4,1,3,1,1,1,3,,,,"03 Jun, 2025"
670,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,2,2,6,1,6,1,3,6,,,,"03 Jun, 2025"
671,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,6,6,6,6,6,6,1,1,1,,,,"03 Jun, 2025"
672,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,3,3,3,,,,,,,,,,"03 Jun, 2025"
673,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,5,5,5,5,2,4,4,4,4,,,,"03 Jun, 2025"
674,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,1,1,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
675,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,3,6,5,6,6,6,1,3,4,,,,"03 Jun, 2025"
676,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,1,2,3,6,6,6,1,6,6,,,,"03 Jun, 2025"
677,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,2,3,,,,,,,,,,,"03 Jun, 2025"
678,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,3,2,3,3,2,5,3,3,3,,,,"03 Jun, 2025"
679,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,4,3,2,1,1,5,1,5,2,1,,,,"03 Jun, 2025"
680,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,1,4,6,6,6,1,6,6,,,,"03 Jun, 2025"
681,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,1,6,6,6,1,1,1,6,,,,"03 Jun, 2025"
682,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,1,6,6,6,2,6,3,5,6,,,,"03 Jun, 2025"
683,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,6,6,6,6,6,6,6,6,6,,,,"03 Jun, 2025"
684,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,1,6,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
